duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
1.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
1.17,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
1.18,2013-08-29,2013,08,29,3,Mountain View,Mountain View,Subscriber
1.28,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
1.38,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
1.72,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
1.82,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
1.85,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
1.88,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
1.9,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
2.08,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.1,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
2.15,2013-08-29,2013,08,29,3,Mountain View,Mountain View,Subscriber
2.17,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.23,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.3,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.35,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
2.37,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.37,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.43,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.47,2013-08-29,2013,08,29,3,Redwood City,Redwood City,Subscriber
2.52,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.67,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.68,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
2.72,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
2.75,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.77,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
2.8,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.82,2013-08-29,2013,08,29,3,Redwood City,Redwood City,Subscriber
2.88,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
2.88,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.9,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.92,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
2.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.07,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.1,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.1,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.13,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.13,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.13,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
3.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.18,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
3.22,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.28,2013-08-29,2013,08,29,3,Palo Alto,Palo Alto,Subscriber
3.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.45,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
3.48,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
3.5,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
